@id|@lon|@lat|shop|name|addr:city|addr:postcode|addr:street|addr:housenumber|website|contact:email|phone
20962297|15.4701174|47.0598329|supermarket|denn's Biomarkt|Graz|8042|Plüddemanngasse|107a|http://www.denns-biomarkt.at/||+43 316-422677
21015454|15.4646460|47.0649960|vacant||||||||
21306980|15.4786046|47.0506110|supermarket|Billa|Graz|8042|Hubertusstraße|2|||
31611256|15.4580967|47.0630084|supermarket|Billa|Graz|8010|Waltendorfer Gürtel|10|||
31620673|15.4338704|47.0283173|supermarket|Merkur|Graz|8055|Triester Straße|371|https://www.merkurmarkt.at/marktplatz/ihr-einkauf/maerkte-und-oeffnungszeiten?||
31620704|15.4644162|47.0399695|supermarket|Interspar|Graz|8041|Ostbahnstraße|3|||
31625408|15.4605827|47.0678349|bakery|Philipp|Graz|8010|Krenngasse|38|http://www.konditorei-philipp.at||
31625413|15.4446691|47.0611353|supermarket|Spar|Graz|8010|Steyrergasse|37a|||
33054365|15.4729648|47.0787525|supermarket|Billa|Graz|8047|Ragnitzstraße|12-14|||
251710886|15.4367460|47.0718813|department_store|Kastner und Öhler|Graz|8010|Sackstraße|7-13|https://www.kastner-oehler.at/|kontakt@kastner-oehler.at|
251711051|15.4387456|47.0721305|hairdresser|Mayer|Graz|8010|Sporgasse|10|http://www.menschmayer.at/salons-preise/||
251711052|15.4412508|47.0707092|deli|Frankowitsch|Graz|8010|Stempfergasse|2-4|http://www.frankowitsch.at/||+43 316 82 22 12
255590647|15.4288158|47.0591033|yes|Citypark-Tankstelle|Graz|8020|Fabriksgasse|20|||
262065341|15.4845805|47.0690799|supermarket|Unimarkt|||||||
266657437|15.4511229|47.0632957|bakery|Hubert Auer|Graz|8010|Münzgrabenstraße|47|||+43 316 822171
266657602|15.4508888|47.0631843|vacant||||||||
266657673|15.4507421|47.0633815|vacant||Graz|8010|Münzgrabenstraße|44|||
269063448|15.4029608|47.0707123|bakery|Sorger|Graz|8020|Eggenberger Allee|36|||
271624001|15.4724158|47.0567095|doityourself|Schimautz|Graz|8042|Sankt-Peter-Hauptstraße|61|http://www.schimautz.at/||+43 316 472538-0
271626440|15.4731776|47.0556519|hairdresser|Medved|Graz|8042|Sankt-Peter-Hauptstraße|69|||
271626484|15.4739855|47.0547980|mobile_phone|H.com|||||||
277415713|15.4370267|47.0644320|supermarket|Spar|Graz|8010|Grazbachgasse|21|https://www.spar.at||+43 316 827408
278473060|15.4410314|47.0665041|supermarket|Spar|Graz|8010|Radetzkystraße|3|https://www.spar.at||+43316 810867
278641299|15.4412610|47.0670560|bakery|Cafe Sorger|Graz|8010|Jakominiplatz|21|http://www.sorgerbrot.at/sorger-filialen.html||
278691038|15.4427013|47.0699239|furniture|BoConcept|Graz|8010|Hans-Sachs-Gasse|2|https://www.boconcept.com/de-at/stores/find-your-local-store/austria/boconcept-graz|graz@boconcept.at|
278691200|15.4441052|47.0674784|supermarket|Billa Corso|Graz|8010|Jakominiplatz|12|https://www.billa.at/||+43 316 837184
278903257|15.4419535|47.0666830|hairdresser|Klipp|Graz|8010|Jakominiplatz|17|||
280171006|15.4326595|47.0711130|bakery|Cafe Sorger|Graz|8020|Südtiroler Platz|14|http://www.sorgerbrot.at/||+43-316-714131-11
280171073|15.4395729|47.0667560|vinothek|Wein & Co|Graz|8010|Joanneumring|13|http://www.weinco.at/standorte/alle-standorte/9361|grabar@weinco.at|
280236650|15.4343741|47.0694638|vinothek|Der Steirer|Graz|8020|Belgiergasse|1|http://www.der-steirer.at/|office@der-steirer.at|
280730991|15.4201792|47.0715467|vacant||Graz|8020|Annenstraße|68|||
